"id","name","castealias","castes__id","castes__name"
"10","Jain - Shwetambar","Caste","0","-- Select --"
"","","","1","Shvetambar-Murtipujaka"
"","","","2","Shvetambar-Sthanakvasi"
"","","","3","Shvetambar-Terapanthi"
"","","","4","Jain - Agarwal"
"","","","5","Jain - Bania"
"","","","6","Jain - Intercaste"
"","","","7","Jain - Jaiswal"
"","","","8","Jain - Khandelwal"
"","","","9","Jain - Kutchi"
"","","","10","Jain - No Bar"
"","","","11","Jain - Oswal"
"","","","12","Jain - Porwal"
"","","","13","Jain - Unspecified"
"","","","14","Jain - Vaishya"
"","","","15","Jain - KVO"
"","","","16","Others"
"12","Parsi","Caste","0","-- Select --"
"","","","1","Irani"
"","","","2","Parsi"
"","","","3","Intercaste"
"","","","4","Others"
"13","Buddhist","Branch","0","-- Select --"
"","","","1","Mahayana"
"","","","2","Nichiren Buddhism"
"","","","3","Pure Land Buddhism"
"","","","4","Tantrayana (Vajrayana Tibetan)"
"","","","5","Theravada (Hinayana)"
"","","","6","Tendai Buddhism (Japanese)"
"","","","7","Zen Buddhism (China)"
"","","","8","Others"
"14","Jewish","Caste","0","-- Select --"
"","","","0","Others"
"15","Inter-Religion","Caste","0","-- Select --"
"","","","0","Others"
"16","No Religious Belief","Caste","0","-- Select --"
"","","","0","Others"
